alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,5000,1000,R1,0.000001,100000,350000,0.0134,1649.645,9521.727,2727.936,46.3338,33.1759
stelar,5000,1000,R1,0.000001,100000,400000,0.0118,2501.372,,,50.9806,36.8141
stelar,5000,1000,R1,0.000001,100000,500000,0.0174,5068.171,,,57.9568,43.0698
stelar,5000,1000,R1,0.000001,50000,150000,0.0050,97.066,9783.941,1948.672,24.5227,16.9662
stelar,5000,1000,R1,0.000001,50000,200000,0.0068,241.875,9569.496,2104.320,30.5183,21.2848
stelar,5000,1000,R1,0.000001,50000,250000,0.0070,550.686,9545.000,2295.808,36.4919,25.3992
stelar,5000,1000,R1,0.000001,50000,300000,0.0116,1018.798,9790.586,2513.920,42.1273,30.0500
stelar,5000,1000,R1,0.000001,50000,350000,0.0138,1591.154,10064.316,2397.184,46.8581,33.7603
stelar,7500,1000,R1,0.000001,100000,200000,0.0083,1057.585,,,32.4036,22.6597
stelar,7500,1000,R1,0.000001,100000,250000,0.0071,2116.231,11149.043,3309.568,37.8431,26.5920
